movie_id,title,release_date,popularity,vote_average,vote_count,overview,original_language,genre_ids
1197306,A Working Man,2025-03-26,30.1946,6.699,1724,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",en,"[28, 80, 53]"
1422096,Good Boy,2025-10-01,29.6942,6.706,446,"A loyal dog moves to a rural family home with his owner Todd, only to discover supernatural forces lurking in the shadows. As dark entities threaten his human companion, the brave pup must fight to protect the one he loves most.",en,[27]
1327862,Regretting You,2025-10-22,29.5982,7.039,241,"Morgan Grant and her daughter Clara explore what's left behind after a devastating accident reveals a shocking betrayal and forces them to confront family secrets, redefine love, and rediscover each other.",en,"[10749, 18]"
950387,A Minecraft Movie,2025-03-31,28.914,6.301,2677,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",en,"[10751, 14, 35, 12, 28]"
1078605,Weapons,2025-08-04,28.247,7.3,2677,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",en,"[27, 9648]"
1035259,The Naked Gun,2025-07-30,27.7977,6.432,1293,"Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr. Following in his father's footsteps, he must solve a murder case to prevent Police Squad from closure.",en,"[28, 35, 80]"
1379963,Tell Me Softly,2025-12-11,27.692,6.257,101,"Kamila has everything under control: studies, social life, her image... Everything except the unexpected return of her neighbors, the Di Bianco brothers, after seven years of absence. Thiago stole her first kiss, and Taylor was her best friend, but now their return will turn Kami's world upside down. Can the three overcome the past that binds them? Or will everything explode into pieces once again?",es,"[10749, 18]"
552524,Lilo & Stitch,2025-05-17,27.5484,7.241,1948,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,en,"[10751, 878, 35]"
1033148,Die My Love,2025-10-06,27.0169,6.3,281,"After inheriting a remote Montana house, Jackson moves there from New York with his partner Grace, and the couple soon welcome a child. As Jackson becomes increasingly absent and rural isolation sets in, Grace struggles with loneliness, creative frustration, and unresolved emotional wounds. What begins as an attempt at renewal gradually turns into an intense psychological descent, placing strain on their relationship and exposing the fragile balance between love, identity, and motherhood.",en,[18]
1248226,Playdate,2025-11-05,26.88,6.097,449,"When out-of-work accountant Brian joins stay-at-home dad Jeff for a playdate with their sons, he expects a laid-back afternoon. Instead, they're chased by mercenaries, and Brian—totally unprepared—must survive one absurd obstacle after another.",en,"[28, 35, 10751]"
1100988,28 Years Later,2025-06-18,25.8673,6.641,1959,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",en,"[27, 53, 878]"
1022787,Elio,2025-06-18,24.7052,6.966,769,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be.",en,"[10751, 35, 12, 16, 878]"
1007734,Nobody 2,2025-08-13,24.6495,7.025,1157,"Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss.",en,"[28, 53]"
986056,Thunderbolts*,2025-04-30,24.2662,7.312,3070,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",en,"[28, 878, 12]"
1472638,Buen Camino,2025-12-25,24.0589,6.518,255,"Checco's life is a comfortable and luxurious one, and it couldn't be otherwise, considering he's the only son of Eugenio Zalone, a wealthy sofa manufacturer. Stranded by the pool in his luxurious villas, with an unspecified number of Filipinos serving him, a very young Mexican model as a girlfriend, and vacationing on his yacht with friends who share his passion for not wanting to work; it seems like a truly enviable life, considering he lacks nothing, absolutely nothing. Actually, no. Something is missing. It's his underage daughter, Cristal, named after the famous French sparkling wine, who has suddenly disappeared without a trace. Urgently summoned to Rome by his ex-wife, Linda, he finds himself facing the responsibilities of fatherhood for the first time, trying to find the girl—a very complicated task, considering he knows absolutely nothing about Cristal and her life.",it,"[35, 10751, 12]"
950396,The Gorge,2025-02-13,23.2367,7.647,3297,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",en,"[10749, 878, 53]"
1242419,Roofman,2025-10-08,23.2039,7.2,407,"A former Army Ranger and struggling father turns to robbing McDonald’s restaurants by cutting holes in their roofs, earning him the nickname 'Roofman'. After escaping prison, he secretly lives inside a Toys “R” Us for six months, surviving undetected while planning his next move. But when he falls for a divorced mom drawn to his undeniable charm, his double life begins to unravel, setting off a compelling and suspenseful game of cat and mouse as his past closes in.",en,"[80, 35, 18]"
1175942,The Bad Guys 2,2025-07-24,22.4429,7.721,605,"The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.",en,"[10751, 35, 80, 12, 16]"
1010756,The Strangers: Chapter 2,2025-09-25,22.2137,5.997,191,"When The Strangers learn that one of their victims, Maya, is still alive, they return to finish what they’ve started.",en,"[27, 53]"
1156594,Our Fault,2025-10-15,21.9198,7.401,585,"Jenna and Lion's wedding brings about the long-awaited reunion between Noah and Nick after their breakup. Nick's inability to forgive Noah stands as an insurmountable barrier. He, heir to his grandfather's businesses, and she, starting her professional life, resist fueling a flame that's still alive. But now that their paths have crossed again, will love be stronger than resentment?",es,"[10749, 18]"
1119878,Ice Road: Vengeance,2025-06-27,21.3706,6.261,554,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.",en,"[28, 53, 18]"
1284120,The Ugly Stepsister,2025-03-07,20.6166,7.304,805,"In a fairy-tale kingdom where beauty is a brutal business, Elvira battles to compete with her incredibly beautiful stepsister, and she will go to any length to catch the prince’s eye.",no,"[27, 35, 14, 18]"
604079,The Long Walk,2025-09-10,20.42,6.942,1015,"In a dystopian near-future America, fifty teenage boys take part in a deadly annual walking contest, forced to maintain a minimum pace or be executed, until only one survivor remains.",en,"[878, 53, 27]"
957119,Sidelined: The QB and Me,2025-02-06,19.9334,6.244,127,"Dallas, a burdened but headstrong dancer, is determined to get into the best dance school in the country—her late mother’s alma mater. However, that dream is suddenly derailed when the cheeky yet secretly grieving football star, Drayton, crashes into her life with a unique story of his own. Will the two of them be able to grow into their dreams together, or will their dreams be sidelined?",en,"[35, 10749]"
822119,Captain America: Brave New World,2025-02-12,19.4691,5.991,2848,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",en,"[28, 53, 878]"
1242011,Together,2025-07-28,19.3156,7.078,817,"Years into their relationship, Tim and Millie find themselves at a crossroads as they move to the country, abandoning all that is familiar in their lives except each other. With tensions already flaring, a nightmarish encounter with a mysterious, unnatural force threatens to corrupt their lives, their love, and their flesh.",en,"[27, 10749]"
1124566,Sentimental Value,2025-08-20,19.246,7.6,269,"Sisters Nora and Agnes reunite with their estranged father, the charismatic Gustav, a once-renowned director who offers stage actress Nora a role in what he hopes will be his comeback film. When Nora turns it down, she soon discovers he has given her part to an eager young Hollywood star.",no,[18]
1241983,Train Dreams,2025-11-05,19.1994,7.313,428,A logger leads a life of quiet grace as he experiences love and loss during an era of monumental change in early 20th-century America.,en,[18]
1376434,Predator: Killer of Killers,2025-06-05,18.9719,7.9,1030,"While three of the fiercest warriors in human history—a Viking raider, a ninja in feudal Japan, and a WWII pilot—are killers in their own right, they are merely prey for their new opponent: the ultimate killer of killers.",en,"[16, 28, 878, 53]"
696506,Mickey 17,2025-02-28,18.9454,6.827,3122,"Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.",en,"[878, 35, 12]"
1257009,Primitive War,2025-08-21,18.3696,6.8,202,"During the Vietnam War, a recon unit ventures to an isolated jungle valley to uncover the fate of a missing platoon. They soon find themselves in a fight for their lives against an unexpected enemy — prehistoric dinosaurs.",en,"[28, 27, 10752]"
941109,Play Dirty,2025-09-30,18.2248,6.596,534,"Expert thief Parker gets a shot at a major heist, but to pull it off he and his team must outsmart a South American dictator, the New York mob, and the world's richest man.",en,[80]
1456349,It Was Just an Accident,2025-09-27,18.0398,7.171,257,An unassuming mechanic is reminded of his time in an Iranian prison when he encounters a man he suspects to be his sadistic jailhouse captor.,fa,"[18, 53, 80]"
1071585,M3GAN 2.0,2025-06-25,17.8584,7.335,1075,"After the underlying tech for M3GAN is stolen and misused by a powerful defense contractor to create a military-grade weapon known as Amelia, M3GAN's creator Gemma realizes that the only option is to resurrect M3GAN and give her a few upgrades, making her faster, stronger, and more lethal.",en,"[28, 878, 53]"
1011477,Karate Kid: Legends,2025-05-08,17.6929,7.071,1065,"After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.",en,"[28, 12, 18]"
1196573,She Rides Shotgun,2025-07-31,17.6419,7.1,197,"Newly released from prison and marked for death by unrelenting enemies, Nate must now protect his estranged 11-year-old daughter, Polly, at all costs. With scant resources and no one to trust, Nate and Polly forge a bond under fire as he shows her how to fight and survive—and she teaches him the true meaning of unconditional love.",en,"[28, 53, 80]"
1084199,Companion,2025-01-22,16.4688,7.035,1986,"During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.",en,"[53, 878, 27]"
1294203,My Fault: London,2025-02-12,15.4543,7.407,516,"18-year-old Noah moves from America to London, with her mother who's recently fallen in love with William, a wealthy British businessman. Noah meets William’s son, bad-boy Nick, and soon discovers there is an attraction between them neither can avoid. As Noah spends the summer adjusting to her new life, her devastating past will catch up with her while falling in love for the first time.",en,"[18, 10749]"
749170,Heads of State,2025-06-24,16.3812,6.852,911,"The UK Prime Minister and US President have a public rivalry that risks their countries' alliance. But when they become targets of a powerful enemy, they're forced to rely on each other as they go on a wild, multinational run. Allied with Noel, a brilliant MI6 agent, they must find a way to thwart a conspiracy that threatens the free world.",en,"[28, 53, 35]"
1151031,Bring Her Back,2025-05-28,15.2534,7.4,1304,"Following the death of their father, a brother and sister are sent to live with a foster mother, only to learn that she is hiding a terrifying secret.",en,[27]
1125257,Freakier Friday,2025-08-06,15.7075,6.878,562,"Years after Tess and Anna endured an identity crisis, Anna now has a daughter of her own and a soon-to-be stepdaughter. As they navigate the myriad challenges that come when two families merge, Tess and Anna discover lightning might indeed strike twice.",en,"[35, 14, 10751]"
1161617,Code 3,2025-09-12,15.8455,6.834,160,A burned-out paramedic tries to survive his last 24 hours on the job while training a new recruit.,en,"[28, 35]"
